L,p,q,runs,linking,max_iter,osd_order,osd_method,job_number,git hash (metadata)
6,0.005,0.005,10000,1,10,6,osd_cs,0,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.006,0.006,10000,1,10,6,osd_cs,1,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.007,0.007,10000,1,10,6,osd_cs,2,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.008,0.008,10000,1,10,6,osd_cs,3,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.009000000000000001,0.009000000000000001,10000,1,10,6,osd_cs,4,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.01,0.01,10000,1,10,6,osd_cs,5,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.011,0.011,10000,1,10,6,osd_cs,6,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.012,0.012,10000,1,10,6,osd_cs,7,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.013000000000000001,0.013000000000000001,10000,1,10,6,osd_cs,8,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
6,0.014,0.014,10000,1,10,6,osd_cs,9,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.005,0.005,10000,1,10,6,osd_cs,10,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.006,0.006,10000,1,10,6,osd_cs,11,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.007,0.007,10000,1,10,6,osd_cs,12,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.008,0.008,10000,1,10,6,osd_cs,13,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.009000000000000001,0.009000000000000001,10000,1,10,6,osd_cs,14,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.01,0.01,10000,1,10,6,osd_cs,15,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.011,0.011,10000,1,10,6,osd_cs,16,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.012,0.012,10000,1,10,6,osd_cs,17,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.013000000000000001,0.013000000000000001,10000,1,10,6,osd_cs,18,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
8,0.014,0.014,10000,1,10,6,osd_cs,19,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.005,0.005,10000,1,10,6,osd_cs,20,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.006,0.006,10000,1,10,6,osd_cs,21,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.007,0.007,10000,1,10,6,osd_cs,22,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.008,0.008,10000,1,10,6,osd_cs,23,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.009000000000000001,0.009000000000000001,10000,1,10,6,osd_cs,24,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.01,0.01,10000,1,10,6,osd_cs,25,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.011,0.011,10000,1,10,6,osd_cs,26,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.012,0.012,10000,1,10,6,osd_cs,27,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.013000000000000001,0.013000000000000001,10000,1,10,6,osd_cs,28,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
10,0.014,0.014,10000,1,10,6,osd_cs,29,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.005,0.005,10000,1,10,6,osd_cs,30,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.006,0.006,10000,1,10,6,osd_cs,31,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.007,0.007,10000,1,10,6,osd_cs,32,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.008,0.008,10000,1,10,6,osd_cs,33,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.009000000000000001,0.009000000000000001,10000,1,10,6,osd_cs,34,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.01,0.01,10000,1,10,6,osd_cs,35,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.011,0.011,10000,1,10,6,osd_cs,36,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.012,0.012,10000,1,10,6,osd_cs,37,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.013000000000000001,0.013000000000000001,10000,1,10,6,osd_cs,38,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
12,0.014,0.014,10000,1,10,6,osd_cs,39,b'bea834bd6b8d09a8eab4fb823f0de2bc7a4c6f45'
