L,p,q,runs,linking,max_iter,osd_order,osd_method,job_number,git hash (metadata)
6,0.025,0.025,10000,0,10,6,osd_cs,0,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.027000000000000003,0.027000000000000003,10000,0,10,6,osd_cs,1,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.029,0.029,10000,0,10,6,osd_cs,2,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.031000000000000003,0.031000000000000003,10000,0,10,6,osd_cs,3,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.033,0.033,10000,0,10,6,osd_cs,4,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.035,0.035,10000,0,10,6,osd_cs,5,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.025,0.025,10000,0,10,6,osd_cs,6,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.027000000000000003,0.027000000000000003,10000,0,10,6,osd_cs,7,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.029,0.029,10000,0,10,6,osd_cs,8,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.031000000000000003,0.031000000000000003,10000,0,10,6,osd_cs,9,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.033,0.033,10000,0,10,6,osd_cs,10,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.035,0.035,10000,0,10,6,osd_cs,11,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.025,0.025,10000,0,10,6,osd_cs,12,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.027000000000000003,0.027000000000000003,10000,0,10,6,osd_cs,13,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.029,0.029,10000,0,10,6,osd_cs,14,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.031000000000000003,0.031000000000000003,10000,0,10,6,osd_cs,15,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.033,0.033,10000,0,10,6,osd_cs,16,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.035,0.035,10000,0,10,6,osd_cs,17,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.025,0.025,10000,0,10,6,osd_cs,18,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.027000000000000003,0.027000000000000003,10000,0,10,6,osd_cs,19,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.029,0.029,10000,0,10,6,osd_cs,20,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.031000000000000003,0.031000000000000003,10000,0,10,6,osd_cs,21,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.033,0.033,10000,0,10,6,osd_cs,22,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.035,0.035,10000,0,10,6,osd_cs,23,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
